date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:04:24	724/724	U-----	200	untouched ('')	image/png	etag:%222d4-59c3c4c454dd2%22	https://www.developpez.com/template/kit/kitbm-twitter.png	C:/Users/E3D-02/Documents/HTTRACK/SITES/automatetheboringstuff/python%20exercices%20corrig%c3%a9s/www.developpez.com/template/kit/kitbm-twitter.png	(from https://python.developpez.com/cours/apprendre-python-3/?page=exercices-corriges)
20:04:24	185762/185762	U-----	200	untouched ('')	text/javascript	date:Sun,%2005%20Apr%202020%2017:08:44%20GMT	http://platform.linkedin.com/in.js	C:/Users/E3D-02/Documents/HTTRACK/SITES/automatetheboringstuff/python%20exercices%20corrig%c3%a9s/platform.linkedin.com/in.js	(from https://python.developpez.com/cours/apprendre-python-3/?page=exercices-corriges)
20:04:24	357/357	U-----	200	untouched ('')	image/png	etag:%22165-59c3c4c4b4910%22	https://www.developpez.com/template/kit/kitbm-facebook.png	C:/Users/E3D-02/Documents/HTTRACK/SITES/automatetheboringstuff/python%20exercices%20corrig%c3%a9s/www.developpez.com/template/kit/kitbm-facebook.png	(from https://python.developpez.com/cours/apprendre-python-3/?page=exercices-corriges)
20:04:24	737/737	U-----	200	untouched ('')	image/png	date:Thu,%2003%20Oct%202019%2010:15:00%20GMT	https://www.gstatic.com/images/icons/gplus-16.png	C:/Users/E3D-02/Documents/HTTRACK/SITES/automatetheboringstuff/python%20exercices%20corrig%c3%a9s/www.gstatic.com/images/icons/gplus-16.png	(from https://python.developpez.com/cours/apprendre-python-3/?page=exercices-corriges)
20:04:24	1021/1021	U-----	200	untouched ('')	image/png	etag:%223fd-59c3c449c0256%22	https://python.developpez.com/template/images/developpez.com.png	C:/Users/E3D-02/Documents/HTTRACK/SITES/automatetheboringstuff/python%20exercices%20corrig%c3%a9s/python.developpez.com/template/images/developpez.com.png	(from https://python.developpez.com/template/gabarit.css?1579157675)
20:04:24	362/362	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2005%20Apr%202020%2018:04:22%20GMT	http://python.developpez.com/cours/apprendre-python-3/python-3.pdf	C:/Users/E3D-02/Documents/HTTRACK/SITES/automatetheboringstuff/python%20exercices%20corrig%c3%a9s/python.developpez.com/cours/apprendre-python-3/python-3.63.delayed	(from https://python.developpez.com/cours/apprendre-python-3/.)
20:04:24	1860/1860	U-----	200	untouched ('')	image/png	etag:%22744-59c3c449c11f6%22	https://python.developpez.com/template/images/gabarit-icons.png	C:/Users/E3D-02/Documents/HTTRACK/SITES/automatetheboringstuff/python%20exercices%20corrig%c3%a9s/python.developpez.com/template/images/gabarit-icons.png	(from https://python.developpez.com/template/gabarit.css?1579157675)
20:04:25	715/715	U-----	200	untouched ('')	image/png	etag:%222cb-59c3c449c11f6%22	https://python.developpez.com/template/images/pub728.png	C:/Users/E3D-02/Documents/HTTRACK/SITES/automatetheboringstuff/python%20exercices%20corrig%c3%a9s/python.developpez.com/template/images/pub728.png	(from https://python.developpez.com/template/gabarit.css?1579157675)
20:04:25	446/446	U-----	200	untouched ('')	image/png	etag:%221be-59c3c449c11f6%22	https://python.developpez.com/template/images/pub300.png	C:/Users/E3D-02/Documents/HTTRACK/SITES/automatetheboringstuff/python%20exercices%20corrig%c3%a9s/python.developpez.com/template/images/pub300.png	(from https://python.developpez.com/template/gabarit.css?1579157675)
20:04:25	719/719	U-----	200	untouched ('')	image/png	etag:%222cf-59c3c449c11f6%22	https://python.developpez.com/template/images/gabarit-home.png	C:/Users/E3D-02/Documents/HTTRACK/SITES/automatetheboringstuff/python%20exercices%20corrig%c3%a9s/python.developpez.com/template/images/gabarit-home.png	(from https://python.developpez.com/template/gabarit.css?1579157675)
20:04:25	347/347	---M--	302	error ('Found')	text/html	date:Sun,%2005%20Apr%202020%2018:04:22%20GMT	https://python.developpez.com/cours/apprendre-python-3/python-3.pdf	C:/Users/E3D-02/Documents/HTTRACK/SITES/automatetheboringstuff/python%20exercices%20corrig%c3%a9s/python.developpez.com/cours/apprendre-python-3/python-3.pdf	(from https://python.developpez.com/cours/apprendre-python-3/.)
20:04:30	2336/2336	U-----	200	untouched ('')	image/png	etag:%22920-59c3c449c5076%22	https://python.developpez.com/template/images/social.png	C:/Users/E3D-02/Documents/HTTRACK/SITES/automatetheboringstuff/python%20exercices%20corrig%c3%a9s/python.developpez.com/template/images/social.png	(from https://python.developpez.com/template/gabarit.css?1579157675)
20:04:31	1423/1423	U-----	200	untouched ('')	image/png	etag:%2258f-59c3c4c495511%22	https://www.developpez.com/template/kit/kitbm-site-personnel.png	C:/Users/E3D-02/Documents/HTTRACK/SITES/automatetheboringstuff/python%20exercices%20corrig%c3%a9s/www.developpez.com/template/kit/kitbm-site-personnel.png	(from https://python.developpez.com/template/kit/developpez-kit-generation.css)
20:04:31	1345/1345	U-----	200	untouched ('')	image/png	etag:%22541-59c3c4c4b3970%22	https://www.developpez.com/template/kit/kiticopdf.png	C:/Users/E3D-02/Documents/HTTRACK/SITES/automatetheboringstuff/python%20exercices%20corrig%c3%a9s/www.developpez.com/template/kit/kiticopdf.png	(from https://python.developpez.com/template/kit/developpez-kit-generation.css)
20:04:31	1409/1409	U-----	200	untouched ('')	image/png	etag:%22581-59c3c4c4935d1%22	https://www.developpez.com/template/kit/kiticozip.png	C:/Users/E3D-02/Documents/HTTRACK/SITES/automatetheboringstuff/python%20exercices%20corrig%c3%a9s/www.developpez.com/template/kit/kiticozip.png	(from https://python.developpez.com/template/kit/developpez-kit-generation.css)
20:04:36	1264/1264	U-----	200	untouched ('')	image/png	etag:%224f0-59c3c4c44d0d2%22	https://www.developpez.com/template/kit/kitebooks.png	C:/Users/E3D-02/Documents/HTTRACK/SITES/automatetheboringstuff/python%20exercices%20corrig%c3%a9s/www.developpez.com/template/kit/kitebooks.png	(from https://python.developpez.com/template/kit/developpez-kit-generation.css)
20:04:36	135/135	U-----	200	untouched ('')	image/png	etag:%2287-59c3c4c4b3970%22	https://www.developpez.com/template/kit/ent-entete.png	C:/Users/E3D-02/Documents/HTTRACK/SITES/automatetheboringstuff/python%20exercices%20corrig%c3%a9s/www.developpez.com/template/kit/ent-entete.png	(from https://python.developpez.com/template/kit/developpez-kit-generation.css)
